,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ig01,ig02,ig03,ig04,ig05,ig06,ig07,ig08
47,WBGene00006366,525.204748,2.40025268,0.1191594298,20.14320381,3.09E-90,1.13E-87,197.9956108,723.8644942,137.2888122,849.8833034,151.3249672,1034.425839,179.8481537,927.0068031
48,WBGene00002263,22347.50898,-0.9771352642,0.04859369544,-20.10827239,6.25E-90,2.24E-87,29737.27536,14803.83769,30744.53817,16040.8792,27503.09156,13932.28405,30575.28277,15442.88304
49,WBGene00004219,246.5371538,2.981825772,0.1492974795,19.97237851,9.58E-89,3.36E-86,59.21364062,405.4045561,38.06026478,390.9615915,62.83083435,523.8837656,58.12165943,433.8209177
50,WBGene00006947,267.2803452,3.112233864,0.1558626697,19.96779517,1.05E-88,3.61E-86,78.64311644,444.8329294,31.26378893,471.1392616,49.55671441,551.4565954,58.12165943,453.2286956
51,WBGene00022644,4731.270757,0.8878847383,0.04458899043,19.91264502,3.16E-88,1.06E-85,3388.130499,5924.365832,3265.027,5829.298417,3277.822682,6570.3385,3344.737005,6250.446117
52,WBGene00011487,1669.727407,1.402485364,0.07059138494,19.86765616,7.75E-88,2.56E-85,840.0935262,2437.482256,887.6197465,2202.21334,1022.992176,2686.127287,912.4003896,2368.890537
53,WBGene00010759,1012.107966,1.650164923,0.08310816097,19.85563034,9.85E-88,3.19E-85,509.7924372,1392.124872,475.7533098,1382.110314,510.6111467,1770.887228,457.2968299,1598.287592
54,WBGene00020626,242.7495348,3.014209325,0.1518528155,19.8495452,1.11E-87,3.54E-85,54.58757494,364.9651989,44.85674064,401.6519475,53.09647973,522.9943195,60.3149296,439.5290877
55,WBGene00003530,2788.278176,0.8385243568,0.0423448445,19.80227739,2.85E-87,8.89E-85,1935.545878,3573.828194,1995.445311,3675.955276,2096.426008,3483.960458,1971.74988,3573.314401
56,WBGene00012256,275.0359662,3.198081436,0.1618226191,19.76288268,6.22E-87,1.91E-84,58.28842748,423.6022668,43.49744546,423.7962564,56.63624504,643.0695459,55.92838927,495.4691534
57,WBGene00014505,986.8826187,1.238171753,0.06381294817,19.40314291,7.26E-84,2.19E-81,623.5936527,1386.058969,564.1074959,1300.40545,569.0172744,1486.264469,591.0863101,1374.527329
58,WBGene00018138,4548.658653,1.050762872,0.05423191876,19.37535857,1.25E-83,3.69E-81,2944.028194,5977.94798,2790.632986,5701.014145,3221.186437,6548.991793,2881.957,6323.510692
59,WBGene00004104,202.7796665,2.74192734,0.1416761404,19.35348699,1.91E-83,5.55E-81,50.8867224,312.3940345,48.93462615,354.3089423,55.75130371,387.798509,54.83175418,357.3314401
